Unnamed: 0,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
3,Adelie,Torgersen,,,,,
4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male
6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female
7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male
8,Adelie,Torgersen,34.1,18.1,193.0,3475.0,
9,Adelie,Torgersen,42.0,20.2,190.0,4250.0,
10,Adelie,Torgersen,37.8,17.1,186.0,3300.0,
11,Adelie,Torgersen,37.8,17.3,180.0,3700.0,
12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female
13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male
14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male
15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male
18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female
75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female
81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
